code,description,manufacturer,car_type,category,common_cause,fix_tip
P1150,Lack of Upstream Heated Oxygen Sensor Switch Adaptive Fuel Limit Bank 2,FORD,,,,
P1151,Lack of Upstream Heated Oxygen Sensor Switch Sensor Indicates Lean Bank 2,FORD,,,,
P1152,Lack of Upstream Heated Oxygen Sensor Switch Sensor Indicates Rich Bank 2,FORD,,,,
P1153,Bank 2 Fuel Control Shifted Lean,FORD,,,,
P1154,Bank 2 Fuel Control Shifted Rich,FORD,,,,
P1155,Alternative Fuel Controller,FORD,,,,
P1157,Lack of Downstream Heated Oxygen Sensor Switch Sensor Indicates Lean Bank 2,FORD,,,,
P1158,Lack of Downstream Heated Oxygen Sensor Switch Sensor Indicates Rich Bank 2,FORD,,,,
P1168,Fuel Rail Sensor In-Range Low Failure,FORD,,,,
P1169,Fuel Rail Sensor In-Range High Failure,FORD,,,,
P1170,ESO Engine Shut Off Solenoid Fault,FORD,,,,
P1171,Rotor Sensor Fault,FORD,,,,
P1172,Rotor Control Fault,FORD,,,,
P1173,Rotor Calibration Fault,FORD,,,,
P1174,Cam Sensor Fault,FORD,,,,
P1175,Cam Control Fault,FORD,,,,
P1176,Cam Calibration Fault,FORD,,,,
P1177,Synchronization Fault,FORD,,,,
P1180,Fuel Delivery System Malfunction Low,FORD,,,,
P1181,Fuel Delivery System Malfunction High,FORD,,,,
P1183,Engine Oil Temperature Circuit Malfunction,FORD,,,,
P1184,Engine Oil Temperature Out Of Self Test Range,FORD,,,,
P1185,FTS High Fuel Pump Temperature Sensor High,FORD,,,,
P1186,FTS Low Fuel Pump Temperature Sensor Low,FORD,,,,
P1187,Variant Selection,FORD,,,,
P1188,Calibration Memory Fault,FORD,,,,
P1189,Pump Speed Signal Fault,FORD,,,,
P1190,Calibration Resistor Out Of Range,FORD,,,,
P1191,Key Line Voltage,FORD,,,,
P1192,Voltage External,FORD,,,,
P1193,EGR Drive Overcurrent,FORD,,,,
P1194,ECU A/D Converter,FORD,,,,
P1195,SCP HBCC Failed To Initialize,FORD,,,,
P1196,Key Off Voltage High,FORD,,,,
P1197,Key Off Voltage Low,FORD,,,,
P1198,Pump Rotor Control Underfueling,FORD,,,,
P1209,Injector Control Pressure System Fault,FORD,,,,
P1210,Injector Control Pressure Above Expected Level,FORD,,,,
P1211,Injector Control Pressure Sensor Above Below Desired,FORD,,,,
P1212,Injector Control Pressure Not Detected During Crank,FORD,,,,
P1213,Start Injector Circuit Malfunction,FORD,,,,
P1214,Pedal Position Sensor B Circuit Intermittent,FORD,,,,
P1215,Pedal Position Sensor C Circuit Low Input,FORD,,,,
P1216,Pedal Position Sensor C Circuit High Input,FORD,,,,
P1217,Pedal Position Sensor C Circuit Intermittent,FORD,,,,
P1218,CID High,FORD,,,,
P1219,CID Low,FORD,,,,
P1220,Series Throttle Control Fault,FORD,,,,
P1221,Traction Control System Malfunction,FORD,,,,
P1222,Traction Control Output Circuit Malfunction,FORD,,,,
P1223,Pedal Demand Sensor B Circuit High Input,FORD,,,,
P1224,Throttle Position Sensor B Out of Self-Test Range,FORD,,,,
P1227,Wastegate Failed Closed Over Pressure,FORD,,,,
P1228,Wastegate Failed Open Under Pressure,FORD,,,,
P1229,Intercooler Pump Driver Fault,FORD,,,,
P1230,Open Power to Fuel Pump Circuit,FORD,,,,
P1231,High Speed Fuel Pump Relay Activated,FORD,,,,
P1232,Low Speed Fuel Pump Primary Circuit Failure,FORD,,,,
P1233,Fuel Pump Driver Module Off-Line,FORD,,,,
P1234,Fuel Pump Driver Module Off-Line,FORD,,,,
P1235,Fuel Pump Control Out of Range,FORD,,,,
P1236,Fuel Pump Control Out of Range,FORD,,,,
P1237,Fuel Pump Secondary Circuit Fault,FORD,,,,
P1238,Fuel Pump Secondary Circuit Fault,FORD,,,,
P1239,Speed Fuel Pump Positive Feed Fault,FORD,,,,
P1243,Second Fuel Pump Faulty or Ground Fault,FORD,,,,
P1244,Alternator Load Input Failed High,FORD,,,,
P1245,Alternator Load Input Failed Low,FORD,,,,
P1246,Alternator Load Input Failed,FORD,,,,
P1247,Turbo Boost Pressure Low,FORD,,,,
P1248,Turbo Boost Pressure Not Detected,FORD,,,,
P1249,Wastegate Control Valve Performance,FORD,,,,
P1250,Lack of Power to FPRC Solenoid,FORD,,,,
P1252,Pedal Correlation PDS1 and LPDS High,FORD,,,,
P1253,Pedal Correlation PDS1 and LPDS Low,FORD,,,,
P1254,Pedal Correlation PDS2 and LPDS High,FORD,,,,
P1255,Pedal Correlation PDS2 and LPDS Low,FORD,,,,
P1256,Pedal Correlation PDS1 and HPDS,FORD,,,,
P1257,Pedal Correlation PDS2 and HPDS,FORD,,,,
P1258,Pedal Correlation PDS1 and PDS2,FORD,,,,
P1260,Theft Detected Engine Disabled,FORD,,,,
P1261,Cylinder #1 High To Low Side Short,FORD,,,,
P1262,Cylinder #2 High To Low Side Short,FORD,,,,
P1263,Cylinder #3 High To Low Side Short,FORD,,,,
P1264,Cylinder #4 High To Low Side Short,FORD,,,,
P1265,Cylinder #5 High To Low Side Short,FORD,,,,
P1266,Cylinder #6 High To Low Side Short,FORD,,,,
P1267,Cylinder #7 High To Low Side Short,FORD,,,,
P1268,Cylinder #8 High To Low Side Short,FORD,,,,
P1270,Engine RPM or Vehicle Speed Limiter Reached,FORD,,,,
P1270,Engine RPM Or Speed Limiter Reached,FORD,,,,
P1271,Cylinder #1 High To Low Side Open,FORD,,,,
P1272,Cylinder #2 High To Low Side Open,FORD,,,,
P1273,Cylinder #3 High To Low Side Open,FORD,,,,
P1274,Cylinder #4 High To Low Side Open,FORD,,,,
P1275,Cylinder #5 High To Low Side Open,FORD,,,,
P1276,Cylinder #6 High To Low Side Open,FORD,,,,
P1277,Cylinder #7 High To Low Side Open,FORD,,,,
P1278,Cylinder #8 High To Low Side Open,FORD,,,,
P1280,Injection Control Pressure Out Of Range Low,FORD,,,,
P1281,Injection Control Pressure Out Of Range High,FORD,,,,
P1282,Excessive Injection Control Pressure,FORD,,,,
P1283,IPR Circuit Failure,FORD,,,,
P1284,Aborted KOER ICP Failure,FORD,,,,
P1285,Cylinder Head Over Temp Sensed,FORD,,,,
P1286,Fuel Pulse In Range But Lower Than Expected,FORD,,,,
P1287,Fuel Pulse In Range But Higher Than Expected,FORD,,,,
P1288,Cylinder Head Temperature Sensor Out of Self-Test Range,FORD,,,,
P1289,Cylinder Head Temperature Sensor Signal Greater Than Self-Test Range,FORD,,,,
P1290,Cylinder Head Temperature Sensor Signal Less Than Self-Test Range,FORD,,,,
P1291,Injector High Side Short To GND Or VBATT Bank 1,FORD,,,,
P1292,Injector High Side Short To GND Or VBATT Bank 2,FORD,,,,
P1293,Injector High Side Open Bank 1,FORD,,,,
P1294,Injector High Side Open Bank 2 Target Idle Not Reached,FORD,,,,
P1295,Multi-faults Bank 1 With Low Side Shorts,FORD,,,,
P1296,Multi-faults Bank 2 With Low Side Shorts,FORD,,,,
P1297,Injector High Sides Shorted Together,FORD,,,,
P1298,IDM Failure,FORD,,,,
P1299,Cylinder Head Temperature Sensor Detected Engine Overheating Condition,FORD,,,,
P1300,Boost Calibration Fault,FORD,,,,
P1301,Boost Calibration High,FORD,,,,
P1302,Boost Calibration Low,FORD,,,,
P1303,EGR Calibration Fault,FORD,,,,
P1304,EGR Calibration High,FORD,,,,
P1305,EGR Calibration Low,FORD,,,,
P1306,Kickdown Relay Pull In Circuit Fault,FORD,,,,
P1307,Kickdown Relay Hold Circuit Fault,FORD,,,,
P1308,A/C Clutch Circuit Fault,FORD,,,,
P1309,Misfire Detection Monitor Not Enabled,FORD,,,,
P1316,Injector Circuit IDM Codes Detected,FORD,,,,
P1317,Injector Circuit IDM Codes Not Updated,FORD,,,,
P1340,Camshaft Position Sensor B Circuit Malfunction,FORD,,,,
P1351,Ignition Diagnostic Monitor Circuit Input Fault,FORD,,,,
P1352,Ignition Coil A Primary Circuit Fault,FORD,,,,
P1353,Ignition Coil B Primary Circuit Fault,FORD,,,,
P1354,Ignition Coil C Primary Circuit Fault,FORD,,,,
P1355,Ignition Coil D Primary Circuit Fault,FORD,,,,
P1356,Loss of Ignition Diagnostic Module Input to PCM,FORD,,,,
P1357,Ignition Diagnostic Monitor Pulsewidth Not Defined,FORD,,,,
P1358,Ignition Diagnostic Monitor Signal Out of Self-Test Range,FORD,,,,
P1359,Spark Output Circuit Fault,FORD,,,,
P1360,Ignition Coil A Secondary Circuit Malfunction,FORD,,,,
P1361,Ignition Control (IC) Circuit Low Voltage,FORD,,,,
P1362,Ignition Coil C Secondary Circuit Malfunction,FORD,,,,
P1363,Ignition Coil D Secondary Circuit Malfunction,FORD,,,,
P1364,Ignition Coil Primary Circuit Fault,FORD,,,,
P1365,Ignition Coil Secondary Circuit Failure,FORD,,,,
P1369,Engine Temperature Light Monitor Failure,FORD,,,,
P1380,VCT Solenoid Valve Circuit Short or Open,FORD,,,,
P1381,Cam Timing Advance is Excessive,FORD,,,,
P1383,Cam Timing Advance is Excessive,FORD,,,,
P1385,Variable Cam Timing Solenoid B Malfunction,FORD,,,,
P1386,Variable Cam Timing Overadvanced Bank 2,FORD,,,,
P1388,Variable Cam Timing Overretarded Bank 2,FORD,,,,
P1389,Glow Plug Circuit High Side Low Input,FORD,,,,
P1390,Octane Adjust Out of Self-Test Range,FORD,,,,
P1391,Glow Plug Circuit Low Input Bank 1,FORD,,,,
P1392,Glow Plug Circuit High Input Bank 1,FORD,,,,
P1393,Glow Plug Circuit Low Input Bank 2,FORD,,,,
P1394,Glow Plug Circuit High Input Bank 2,FORD,,,,
P1395,Glow Plug Monitor Fault Bank 1,FORD,,,,
P1396,Glow Plug Monitor Fault Bank 2,FORD,,,,
P1397,System Voltage Out Of Self Test Range,FORD,,,,
P1399,Glow Plug Circuit High Side High Input,FORD,,,,
P1400,Differential Pressure Feedback Electronic Sensor Circuit Low Voltage,FORD,,,,
P1401,Differential Pressure Feedback Electronic Sensor Circuit High Voltage,FORD,,,,
P1402,EGR Metering Orifice Restricted,FORD,,,,
P1403,Differential Pressure Feedback Electronic Sensor Hoses Reversed,FORD,,,,
P1404,IAT - B Circuit Malfunction Exhaust Gas Recirculation Closed Position Performance,FORD,,,,
P1405,Differential Pressure Feedback Electronic Sensor Circuit Upstream Hose,FORD,,,,
P1406,Differential Pressure Feedback Electronic Sensor Circuit Downstream Hose,FORD,,,,
P1407,EGR No Flow Detected,FORD,,,,
P1408,EGR Flow Out of Self-Test Range,FORD,,,,
P1409,EGR Vacuum Regulator Circuit Malfunction,FORD,,,,
P1410,EGR Barometric Pressure Sensor VREF Voltage,FORD,,,,
P1411,Secondary Air is Not Being Diverted,FORD,,,,
P1413,Secondary Air Injection System Monitor Circuit Low Voltage,FORD,,,,
P1414,Secondary Air Injection System Monitor Circuit High Voltage,FORD,,,,
P1431,Misfire Monitor Disabled Unable to Learn Trigger Wheel Profile,FORD,,,,
P1442,Secondary Air Injection System Monitor Circuit High Voltage,FORD,,,,
P1443,Evaporative Emission Control System Vacuum System Purge Control Solenoid or Purge Control Valve Fault,FORD,,,,
P1444,Purge Flow Sensor Circuit Input Low,FORD,,,,
P1445,Purge Flow Sensor Circuit Input High,FORD,,,,
P1450,Inability of Evaporative Emission Control System to Bleed Fuel Tank,FORD,,,,
P1451,EVAP Control System Canister Vent Solenoid Circuit Malfunction,FORD,,,,
P1452,Inability of Evaporative Emission Control System to Bleed Fuel Tank,FORD,,,,
P1455,Substantial Leak or Blockage in Evaporative Emission Control System,FORD,,,,
P1457,Unable To Pull Vacuum In Tank,FORD,,,,
P1460,Wide Open Throttle Air Conditioning Cutoff Circuit Malfunction,FORD,,,,
P1461,Air Conditioning Pressure Sensor Circuit Low Input,FORD,,,,
P1462,Air Conditioning Pressure Sensor Circuit High Input,FORD,,,,
P1463,Air Conditioning Pressure Sensor Insufficient Pressure Change,FORD,,,,
P1464,ACCS to PCM High During Self-Test,FORD,,,,
P1465,A/C Relay Circuit Malfunction,FORD,,,,
P1466,A/C Refrigerant Temperature Sensor Circuit Malfunction,FORD,,,,
P1469,Low Air Conditioning Cycling Period,FORD,,,,
P1473,Fan Secondary High with Fans Off,FORD,,,,
P1474,Low Fan Control Primary Circuit,FORD,,,,
P1479,High Fan Control Primary Circuit,FORD,,,,
P1480,Fan Secondary Low with Low Fans On,FORD,,,,
P1481,Fan Secondary Low with High Fans On,FORD,,,,
P1482,SCP,FORD,,,,
P1483,Power to Cooling Fan Exceeded Normal Draw,FORD,,,,
P1484,Variable Load Control Module Pin 1 Open,FORD,,,,
P1485,EGRV Circuit Malfunction,FORD,,,,
P1500,Vehicle Speed Sensor Intermittent,FORD,,,,
P1501,Programmable Speedometer & Odometer Module Vehicle Speed Sensor Intermittent Circuit Failure,FORD,,,,
P1502,Invalid or Missing Vehicle Speed Message or Brake Data,FORD,,,,
P1504,Intake Air Control Circuit Malfunction,FORD,,,,
P1505,Idle Air Control System at Adaptive Clip,FORD,,,,
P1506,Idle Air Control Over Speed Error,FORD,,,,
P1507,Idle Air Control Under Speed Error,FORD,,,,
P1512,Intake Manifold Runner Control Stuck Closed,FORD,,,,
P1513,Intake Manifold Runner Control Stuck Closed,FORD,,,,
P1516,Intake Manifold Runner Control Input Error,FORD,,,,
P1517,Intake Manifold Runner Control Input Error,FORD,,,,
P1518,Intake Manifold Runner Control Fault Stuck Open,FORD,,,,
P1519,Intake Manifold Runner Control Stuck Open,FORD,,,,
P1520,Intake Manifold Runner Control Circuit Fault,FORD,,,,
P1519,Intake Manifold Runner Control Fault Stuck Closed,FORD,,,,
P1520,Intake Manifold Runner Control Fault,FORD,,,,
P1530,Open or Short to A/C Compressor Clutch Circuit,FORD,,,,
P1531,Invalid Test Accelerator Pedal Movement,FORD,,,,
P1532,IMCC Circuit Malfunction Bank B,FORD,,,,
P1533,AAI Circuit Malfunction,FORD,,,,
P1534,Inertia Switch Activated,FORD,,,,
P1536,Parking Brake Switch Circuit Failure,FORD,,,,
P1537,Intake Manifold Runner Control Stuck Open,FORD,,,,
P1538,Intake Manifold Runner Control Stuck Open,FORD,,,,
P1539,Power to A/C Compressor Clutch Circuit Exceeded Normal Current Draw,FORD,,,,
P1549,Intake Manifold Temperature Valve Vacuum Actuator Connection,FORD,,,,
P1550,Power Steering Pressure Sensor Out of Self-Test Range,FORD,,,,
P1565,Speed Control Command Switch Out of Range High,FORD,,,,
P1566,Speed Control Command Switch Out of Range Low,FORD,,,,
P1567,Speed Control Output Circuit Continuity,FORD,,,,
P1568,Speed Control Unable to Hold Speed,FORD,,,,
P1572,Brake Pedal Switch Circuit Malfunction,FORD,,,,
P1573,Throttle Position Not Available,FORD,,,,
P1574,Throttle Position Sensor Disagreement Between Sensors,FORD,,,,
P1575,Pedal Position Out of Self Test Range,FORD,,,,
P1576,Pedal Position Not Available,FORD,,,,
P1577,Pedal Position Sensor Disagreement Between Sensors,FORD,,,,
P1578,ETC Power Less Than Demand,FORD,,,,
P1579,ETC In Power Limiting Mode,FORD,,,,
P1580,Electronic Throttle Monitor PCM Override,FORD,,,,
P1581,Electronic Throttle Monitor Malfunction,FORD,,,,
P1582,Electronic Throttle Monitor Data Available,FORD,,,,
P1583,Electronic Throttle Monitor Cruise Disable,FORD,,,,
P1584,Throttle Control Detected ETB Malfunction,FORD,,,,
P1585,Throttle Control Unit Malfunction,FORD,,,,
P1586,Throttle Control Unit Throttle Position Malfunction,FORD,,,,
P1587,Throttle Control Unit Modulated Command Malfunction,FORD,,,,
P1588,Throttle Control Unit Detected Loss of Return Spring,FORD,,,,
P1589,Throttle Control Unit Unable To Control Desired Throttle Angle,FORD,,,,
P1600,Loss of KAM Power Open Circuit,FORD,,,,
P1605,PCM Keep Alive Memory Test Error,FORD,,,,
P1625,Voltage to Vehicle Load Control Module Fan Circuit Not Detected,FORD,,,,
P1626,Voltage to Vehicle Load Control Module Circuit Not Detected,FORD,,,,
P1634,Data Output Link Circuit Failure,FORD,,,,
P1635,Tire Axle Ratio Out of Acceptable Range,FORD,,,,
P1636,Inductive Signature Chip Communication Error,FORD,,,,
P1639,Vehicle ID Block Corrupted or Not Programmed,FORD,,,,
P1640,Powertrain DTCs Available in Another Module,FORD,,,,
P1641,Fuel Pump Primary Circuit Failure,FORD,,,,
P1642,Fuel Pump Monitor Circuit High Input,FORD,,,,
P1643,Fuel Pump Monitor Circuit Low Input,FORD,,,,
P1644,Fuel Pump Speed Control Circuit Malfunction,FORD,,,,
P1650,Power Steering Pressure Switch Out of Self-Test Range,FORD,,,,
P1651,Power Steering Pressure Switch Input Fault,FORD,,,,
P1656,CAN Link PCM PCM Circuit Network,FORD,,,,
P1657,CAN Link Chip Malfunction,FORD,,,,
P1660,Output Circuit Check Signal High,FORD,,,,
P1661,Output Circuit Check Signal Low,FORD,,,,
P1662,IDM_EN Circuit Failure,FORD,,,,
P1663,Fuel Demand Command Signal Circuit Malfunction,FORD,,,,
P1667,CI Circuit Malfunction,FORD,,,,
P1668,PCM IDM Communications Error,FORD,,,,
P1670,Electronic Feedback Signal Not Detected,FORD,,,,
P1690,Wastegate Solenoid Circuit Malfunction,FORD,,,,
P1700,Transmission system problems,FORD,,,,
P1701,Reverse Engagement Error,FORD,,,,
P1702,Transmission system problems,FORD,,,,
P1703,Brake On Off Switch Out of Self-Test Range,FORD,,,,
P1704,Transmission system problems,FORD,,,,
P1705,Manual Lever Position Sensor Out of Self-Test Range,FORD,,,,
P1706,High Vehicle Speed Observed in Park,FORD,,,,
P1707,Transfer Case Neutral Indicator Hard Fault Present,FORD,,,,
P1709,Park or Neutral Position Switch Out of Self-Test Range,FORD,,,,
P1710,Transmission system problems,FORD,,,,
P1711,Transmission Fluid Temperature Sensor Out of Self-Test Range,FORD,,,,
P1712,Trans Torque Reduction Request Signal Malfunction,FORD,,,,
P1713,TFT Sensor In Range Failure Low Value,FORD,,,,
P1714,SSA Inductive Signature Malfunction,FORD,,,,
P1715,SSB Inductive Signature Malfunction,FORD,,,,
P1716,SSC Inductive Signature Malfunction,FORD,,,,
P1717,SSD Inductive Signature Malfunction,FORD,,,,
P1718,TFT Sensor In Range Failure High,FORD,,,,
P1720,Vehicle Speed Meter Circuit Malfunction,FORD,,,,
P1721,Gear 1 Incorrect Ratio,FORD,,,,
P1722,Gear 2 Incorrect Ratio,FORD,,,,
P1723,Gear 3 Incorrect Ratio,FORD,,,,
P1724,Gear 4 Incorrect Ratio,FORD,,,,
P1725,Insufficient Engine Speed Increase During Self Test,FORD,,,,
P1726,Insufficient Engine Speed Decrease During Self Test,FORD,,,,
P1727,Coast Clutch Solenoid Inductive Signature Malfunction,FORD,,,,
P1728,Transmission Slip Error,FORD,,,,
P1729,4x4 Low Switch Error,FORD,,,,
P1731,1-2 Shift Malfunction,FORD,,,,
P1732,2-3 Shift Malfunction,FORD,,,,
P1733,3-4 Shift Malfunction,FORD,,,,
P1740,Transmission system problems,FORD,,,,
P1741,Torque Converter Clutch Control Error,FORD,,,,
P1742,Torque Converter Clutch Solenoid Faulty,FORD,,,,
P1743,Torque Converter Clutch Solenoid Faulty,FORD,,,,
P1744,Torque Converter Clutch System Stuck in Off Position,FORD,,,,
P1745,Transmission system problems,FORD,,,,
P1746,Electronic Pressure Control Solenoid A Open Circuit,FORD,,,,
P1747,Electronic Pressure Control Solenoid A Short Circuit,FORD,,,,
P1748,EPC Malfunction,FORD,,,,
P1749,Electronic Pressure Control Solenoid Failed Low,FORD,,,,
P1751,Shift Solenoid A Performance,FORD,,,,
P1754,Coast Clutch Solenoid Circuit Malfunction,FORD,,,,
P1756,Shift Solenoid B Performance,FORD,,,,
P1760,Transmission system problems,FORD,,,,
P1761,Shift Solenoid C Performance,FORD,,,,
P1762,Overdrive Band Failed Off,FORD,,,,
P1766,Shift Solenoid D Performance,FORD,,,,
P1767,Torque Converter Clutch Circuit Malfunction,FORD,,,,
P1768,Performance Normal Winter Mode Input Malfunction,FORD,,,,
P1770,Clutch Solenoid Circuit Malfunction,FORD,,,,
P1779,Transmission Control Indicator Lamp Circuit Malfunction,FORD,,,,
P1780,Transmission Control Switch Circuit is Out of Self-Test Range,FORD,,,,
P1781,4x4 Low Switch is Out of Self-Test Range,FORD,,,,
P1782,P/ES Circuit Out Of Self Test Range,FORD,,,,
P1783,Transmission Over-Temperature Condition,FORD,,,,
P1784,Transmission Mechanical Failure First And Reverse,FORD,,,,
P1785,Transmission Mechanical Failure First And Second,FORD,,,,
P1786,3-2 Downshift Error,FORD,,,,
P1787,2-1 Downshift Error,FORD,,,,
P1788,Pressure Control Solenoid B Open Circuit,FORD,,,,
P1789,Pressure Control Solenoid B Short Circuit,FORD,,,,
P1795,Idle Switch Circuit Malfunction,FORD,,,,
P1804,Transmission 4-Wheel Drive High Indicator Circuit Failure,FORD,,,,
P1806,Transmission 4-Wheel Drive High Indicator Short Circuit To Battery,FORD,,,,
P1808,Transmission 4-Wheel Drive Low Indicator Circuit Failure,FORD,,,,
P1810,TFP Valve Position Switch Circuit Transmission 4-Wheel Drive Low Indicator Short Circuit To Battery,FORD,,,,
P1812,Transmission 4-Wheel Drive Mode Select Circuit Failure,FORD,,,,
P1815,Transmission 4-Wheel Drive Mode Select Short Circuit To Ground,FORD,,,,
P1819,Transmission Neutral Safety Switch Short Circuit To Ground,FORD,,,,
P1820,Transmission Transfer Case Clockwise Shift Relay Coil Circuit Failure,FORD,,,,
P1822,Transmission Transfer Case Clockwise Shift Relay Coil Short Circuit To Battery,FORD,,,,
P1824,Transmission 4-Wheel Drive Clutch Relay Circuit Failure,FORD,,,,
P1826,Transmission 4-Wheel Drive Low Clutch Relay Circuit To Battery,FORD,,,,
P1828,Transmission Transfer Case Counter Clockwise Shift Relay Coil Circuit Failure,FORD,,,,
P1830,Transmission Transfer Case Counter Clockwise Shift Relay Coil Short Circuit To Battery,FORD,,,,
P1832,Transmission Transfer Case Differential Lock-Up Solenoid Circuit Failure,FORD,,,,
P1834,Transmission Transfer Case Differential Lock-Up Solenoid Short Circuit To Battery,FORD,,,,
P1838,Transmission Transfer Case Shift Motor Circuit Failure,FORD,,,,
P1846,Transmission Transfer Case Contact Plate A Circuit Failure,FORD,,,,
P1850,Transmission Transfer Case Contact Plate B Circuit Failure,FORD,,,,
P1854,Transmission Transfer Case Contact Plate C Circuit Failure,FORD,,,,
P1858,Transmission Transfer Case Contact Plate D Circuit Failure,FORD,,,,
P1866,Transmission Transfer Case System Concern Servicing Required,FORD,,,,
P1867,Transmission Transfer Case Contact Plate General Circuit Failure,FORD,,,,
P1876,Transmission Transfer Case 2-Wheel Drive Solenoid Circuit Failure,FORD,,,,
P1877,Transmission Transfer Case 2-Wheel Drive Solenoid Circuit Short To Battery,FORD,,,,
P1881,Engine Coolant Level Switch Circuit Failure GEM,FORD,,,,
P1882,Engine Coolant Level Switch Circuit Short to Ground,FORD,,,,
P1883,Engine Coolant Level Switch Circuit Failure GEM,FORD,,,,
P1884,Engine Coolant Level Lamp Circuit Short to Ground,FORD,,,,
P1891,Transmission Transfer Case Contact Plate Ground Return Open Circuit,FORD,,,,
P1900,Output Shaft Speed (OSS) Circuit Intermittent Malfunction,FORD,,,,
P1901,Turbine Shaft Speed (TSS) Circuit Intermittent Malfunction,FORD,,,,
P1902,Kickdown Solenoid Relay Control Circuit,FORD,,,,
P1903,Kickdown Solenoid Circuit Low Voltage,FORD,,,,
P1904,Kickdown Solenoid Circuit High Voltage,FORD,,,,
P1250,Early Fuel Evaporation Heater Circuit Fault,GEO,,,,
P1300,Ignition Coil 1 Primary Feedback Circuit,GEO,,,,
P1305,Ignition Coil 2 Primary Feedback Circuit,GEO,,,,
P1310,Ignition Coil 3 Primary Feedback Circuit,GEO,,,,
P1315,Ignition Coil 4 Primary Feedback Circuit,GEO,,,,
P1335,Crankshaft Position Sensor Circuit,GEO,,,,
P1346,Intake Camshaft Position System Performance,GEO,,,,
P1349,Intake Camshaft Position System,GEO,,,,
P1408,MAP Sensor Circuit,GEO,,,,
P1410,Fuel Tank Pressure System Fault,GEO,,,,
P1450,Barometric Pressure Sensor Circuit Fault,GEO,,,,
P1451,Barometric Pressure Sensor Performance,GEO,,,,
P1460,Cooling Fan Control System Fault,GEO,,,,
P1500,Starter Signal Circuit Fault,GEO,,,,
P1510,Backup Power Supply Fault,GEO,,,,
P1520,Stop Lamp Switch Circuit,GEO,,,,
P1530,Ignition Timing Adjustment Switch Circuit,GEO,,,,
P1600,PCM Battery Circuit Fault,GEO,,,,
P1656,Intake CMP Actuator Solenoid Control Circuit,GEO,,,,
P1031,HO2S Heater Current Monitor Control Circuit Sensors 1,GM,,,,
P1032,HO2S Heater Warm Up Control Circuit Sensors 1,GM,,,,
P1105,Secondary Vacuum Sensor Circuit,GM,,,,
P1106,MAP Sensor Circuit Intermittent High Voltage,GM,,,,
P1107,MAP Sensor Circuit Intermittent Low Voltage,GM,,,,
P1108,BARO To MAP Sensor Circuit Comparison Too High,GM,,,,
P1109,Secondary Port Throttle System,GM,,,,
P1111,Intake Air Temperature (IAT) Sensor Circuit Intermittent High Voltage,GM,,,,
P1112,Intake Air Temperature (IAT) Sensor Circuit Intermittent Low Voltage,GM,,,,
P1113,Intake Resonance Switchover Valve Circuit,GM,,,,
P1114,Engine Coolant Temperature (ECT) Sensor Circuit Intermittent Low Voltage,GM,,,,
P1115,Engine Coolant Temperature (ECT) Sensor Circuit Intermittent High Voltage,GM,,,,
P1116,ECT Signal Unstable Or Intermittent,GM,,,,
P1117,Engine Coolant Temp Signal Out Of Range Low,GM,,,,
P1118,Engine Coolant Temp Signal Out Of Range High,GM,,,,
P1119,ECT Signal Out Of Range With TFT Sensor,GM,,,,
P1120,Throttle Position (TP) Sensor 1 Circuit,GM,,,,
P1121,TP Sensor Circuit Intermittent High Voltage,GM,,,,
P1122,TP Sensor Circuit Intermittent Low Voltage,GM,,,,
P1125,Accelerator Pedal Position (APP) System,GM,,,,
P1130,HO2S Circuit Low Variance Bank 1 Sensor 1,GM,,,,
P1131,HO2S Circuit Low Variance Bank 1 Sensor 2,GM,,,,
P1132,H02S Circuit Low Variance Bank 2 Sensor 1,GM,,,,
P1133,HO2S Insufficient Switching,GM,,,,
P1134,HO2S Transition Time Ratio,GM,,,,
P1135,HO2S Lean Average Bank 1 Sensor 1,GM,,,,
P1136,HO2S Rich Average Bank 1 Sensor 1,GM,,,,
P1137,HO2S Bank 1 Sensor 2 Lean Or Low Voltage,GM,,,,
P1138,HO2S Bank 1 Sensor 2 Rich Or High Voltage,GM,,,,
P1139,HO2S Insufficient Switching Bank 1 Sensor 2,GM,,,,
P1140,HO2S Transition Time Ratio Bank 1 Sensor 2,GM,,,,
P1141,HO2S Bank 1 Sensor 2 Average Voltage Level,GM,,,,
P1143,HO2S Bank 1 Sensor 3 Lean Or Low Voltage,GM,,,,
P1144,HO2S Bank 1 Sensor 3 Rich Or High Voltage,GM,,,,
P1145,HO2S Cross Counts Bank 1 Sensor 3,GM,,,,
P1153,HO2S Insufficient Switching,GM,,,,
P1154,HO2S Transition Time Ratio,GM,,,,
P1155,HO2S Lean Average Bank 2 Sensor 1,GM,,,,
P1156,HO2S Rich Average Bank 2 Sensor 1,GM,,,,
P1157,HO2S Bank 2 Sensor 2 Lean System Or Low Voltage,GM,,,,
P1158,HO2S Bank 2 Sensor 2 Rich Or High Voltage,GM,,,,
P1159,HO2S Cross Counts Bank 2 Sensor 2,GM,,,,
P1161,HO2S Heater Power Stage Circuit Bank 2 Sensor 2,GM,,,,
P1163,HO2S Bank 2 Sensor 3 Lean System Or Low Voltage,GM,,,,
P1164,HO2S Bank 2 Sensor 3 Rich Or High Voltage,GM,,,,
P1165,HO2S Cross Counts Bank 2 Sensor 2,GM,,,,
P1170,Bank To Bank Fuel Trim Offset,GM,,,,
P1171,Fuel System Lean During Acceleration,GM,,,,
