code,description,car_type,category,common_cause,fix_tip
P0480,Engine Cooling Fan 1 Control Circuit,Dacia Logan/Sandero,Electrical,Fan relay or wiring fault,Test fan relay
P0481,Engine Cooling Fan 2 Control Circuit,Dacia Logan/Sandero,Electrical,Fan 2 relay or wiring fault,Test fan 2 relay
P0487,EGR Throttle Position Control Circuit,Dacia Diesel Models,Electrical,EGR throttle control wiring,Check EGR throttle wiring
P0488,EGR Throttle Position Control Range/Performance,Dacia Diesel Models,Electrical,EGR throttle control out of range,Test EGR throttle control
P0489,EGR Control Circuit Low,Dacia Diesel Models,Electrical,EGR control circuit short,Check EGR control wiring
P0490,EGR Control Circuit High,Dacia Diesel Models,Electrical,EGR control circuit open,Check EGR control wiring
P0496,EVAP System High Purge Flow,Dacia Logan/Sandero,Mechanical,Purge valve stuck open,Replace EVAP purge valve
P0497,EVAP System Low Purge Flow,Dacia Logan/Sandero,Mechanical,Purge valve stuck closed,Replace EVAP purge valve
P0500,Vehicle Speed Sensor Malfunction,Toyota All Models,Electrical,VSS sensor faulty,Replace VSS sensor
P0501,Vehicle Speed Sensor Range/Performance,Toyota All Models,Electrical,VSS sensor out of range,Replace VSS sensor
P0502,Vehicle Speed Sensor Circuit Low Input,Toyota All Models,Electrical,VSS wiring short,Check VSS wiring
P0503,Vehicle Speed Sensor Intermittent/Erratic,Toyota All Models,Electrical,VSS wiring loose,Secure VSS connector
P0505,Idle Air Control System Malfunction,Toyota All Models,Mechanical,IAC valve dirty or faulty,Clean IAC valve
P0506,Idle Control System RPM Lower Than Expected,Toyota All Models,Mechanical,IAC valve stuck or vacuum leak,Clean IAC valve
P0507,Idle Control System RPM Higher Than Expected,Toyota All Models,Mechanical,IAC valve stuck open,Clean throttle body
P0508,Idle Air Control System Circuit Low,Toyota All Models,Electrical,IAC control wiring short,Check IAC wiring
P0509,Idle Air Control System Circuit High,Toyota All Models,Electrical,IAC control wiring open,Check IAC wiring
P0510,Closed Throttle Position Switch Malfunction,Toyota All Models,Electrical,Throttle switch wiring fault,Check throttle switch wiring
P0511,Idle Air Control Circuit Malfunction,Toyota All Models,Electrical,IAC circuit wiring fault,Check IAC wiring
P0512,Starter Request Circuit,Toyota All Models,Electrical,Starter relay fault,Check starter relay
P0513,Incorrect Immobilizer Key,Toyota All Models,Electrical,Immobilizer key not recognized,Use programmed key
P0518,Idle Air Control Circuit Intermittent,Toyota All Models,Electrical,IAC wiring loose,Secure IAC connector
P0519,Idle Air Control System Performance,Toyota All Models,Mechanical,IAC valve worn,Clean or replace IAC valve
P0520,Engine Oil Pressure Sensor Circuit,Toyota All Models,Electrical,Oil pressure sensor wiring,Check oil pressure sensor
P0521,Engine Oil Pressure Sensor Range/Performance,Toyota All Models,Electrical,Oil pressure sensor out of range,Replace oil pressure sensor
P0522,Engine Oil Pressure Sensor Circuit Low,Toyota All Models,Electrical,Oil pressure sensor short,Check oil pressure wiring
P0523,Engine Oil Pressure Sensor Circuit High,Toyota All Models,Electrical,Oil pressure sensor open,Check oil pressure wiring
P0524,Engine Oil Pressure Too Low,Toyota All Models,Mechanical,Low oil level or worn pump,Check oil level
P0530,A/C Refrigerant Pressure Sensor Circuit,Toyota All Models,Electrical,A/C pressure sensor wiring,Check A/C pressure sensor
P0531,A/C Refrigerant Pressure Sensor Range/Performance,Toyota All Models,Electrical,A/C pressure sensor out of range,Replace A/C pressure sensor
P0532,A/C Refrigerant Pressure Sensor Circuit Low,Toyota All Models,Electrical,A/C pressure sensor short,Check A/C pressure wiring
P0533,A/C Refrigerant Pressure Sensor Circuit High,Toyota All Models,Electrical,A/C pressure sensor open,Check A/C pressure wiring
P0534,A/C Refrigerant Charge Loss,Toyota All Models,Mechanical,Refrigerant leak,Pressure test A/C system
P0535,A/C Evaporator Temperature Sensor Circuit,Toyota All Models,Electrical,Evap temp sensor wiring,Check evaporator temp sensorP0536,A/C Evaporator Temperature Sensor Range/Performance,Toyota All Models,Electrical,Evap temp sensor out of range,Replace evaporator temp sensor
P0537,A/C Evaporator Temperature Sensor Circuit Low,Toyota All Models,Electrical,Evap temp sensor short,Check evaporator temp wiring
P0538,A/C Evaporator Temperature Sensor Circuit High,Toyota All Models,Electrical,Evap temp sensor open,Check evaporator temp wiring
P0540,Intake Air Heater A Circuit Malfunction,Toyota Diesel Models,Electrical,Intake heater relay fault,Check intake heater relay
P0541,Intake Air Heater A Circuit Low,Toyota Diesel Models,Electrical,Intake heater wiring short,Check intake heater wiring
P0542,Intake Air Heater A Circuit High,Toyota Diesel Models,Electrical,Intake heater wiring open,Check intake heater wiring
P0544,Exhaust Gas Temperature Sensor Circuit B1S1,Toyota Diesel Models,Electrical,EGT sensor wiring Bank 1,Check EGT sensor Bank 1
P0545,Exhaust Gas Temperature Sensor Circuit Low B1S1,Toyota Diesel Models,Electrical,EGT sensor wiring short Bank 1,Check EGT sensor Bank 1
P0546,Exhaust Gas Temperature Sensor Circuit High B1S1,Toyota Diesel Models,Electrical,EGT sensor wiring open Bank 1,Check EGT sensor Bank 1
P0550,Power Steering Pressure Sensor Circuit,Toyota All Models,Electrical,PS pressure sensor wiring,Check PS pressure sensor
P0551,Power Steering Pressure Sensor Range/Performance,Toyota All Models,Electrical,PS pressure sensor out of range,Replace PS pressure sensor
P0552,Power Steering Pressure Sensor Circuit Low,Toyota All Models,Electrical,PS pressure sensor short,Check PS pressure wiring
P0553,Power Steering Pressure Sensor Circuit High,Toyota All Models,Electrical,PS pressure sensor open,Check PS pressure wiring
P0560,System Voltage Malfunction,Toyota All Models,Electrical,Battery or alternator issue,Test battery and alternator
P0561,System Voltage Unstable,Toyota All Models,Electrical,Loose battery terminal,Check battery terminals
P0562,System Voltage Low,Toyota All Models,Electrical,Weak battery or alternator,Test battery and alternator
P0563,System Voltage High,Toyota All Models,Electrical,Faulty voltage regulator,Replace alternator regulator
P0571,Brake Switch A Circuit Malfunction,Toyota All Models,Electrical,Brake switch wiring fault,Check brake switch wiring
P0572,Brake Switch A Circuit Low,Toyota All Models,Electrical,Brake switch wiring short,Check brake switch wiring
P0573,Brake Switch A Circuit High,Toyota All Models,Electrical,Brake switch wiring open,Check brake switch wiring
P0597,Thermostat Heater Control Circuit/Open,Toyota All Models,Electrical,Thermostat heater wiring,Check thermostat heater
P0598,Thermostat Heater Control Circuit Low,Toyota All Models,Electrical,Thermostat heater circuit low,Check thermostat heater
P0599,Thermostat Heater Control Circuit High,Toyota All Models,Electrical,Thermostat heater circuit high,Check thermostat heater
P0600,Serial Communication Link Malfunction,Toyota All Models,Electrical,ECM communication fault,Check ECM wiring
P0601,Internal Control Module Memory Check Sum Error,Toyota All Models,Electrical,ECM memory error,Replace or reprogram ECM
P0602,Control Module Programming Error,Toyota All Models,Electrical,ECM programming fault,Reprogram ECM
P0603,Internal Control Module KAM Error,Toyota All Models,Electrical,ECM keep alive memory error,Check ECM power supply
P0604,Internal Control Module RAM Error,Toyota All Models,Electrical,ECM RAM fault,Replace ECM
P0605,Internal Control Module ROM Error,Toyota All Models,Electrical,ECM ROM fault,Replace ECM
P0606,ECM/PCM Processor Malfunction,Toyota All Models,Electrical,ECM processor fault,Replace ECM
P0607,Control Module Performance,Toyota All Models,Electrical,ECM performance issue,Check ECM power and ground
P0611,Fuel Injector Control Module Performance,Toyota Diesel Models,Electrical,Injector control module fault,Check injector control module
P0615,Starter Relay Circuit,Toyota All Models,Electrical,Starter relay wiring fault,Check starter relay
P0616,Starter Relay Circuit Low,Toyota All Models,Electrical,Starter relay circuit short,Check starter relay wiring
P0617,Starter Relay Circuit High,Toyota All Models,Electrical,Starter relay circuit open,Check starter relay wiring
P0620,Generator Control Circuit Malfunction,Toyota All Models,Electrical,Alternator control fault,Check alternator wiring
P0621,Generator Lamp/L Terminal Circuit,Toyota All Models,Electrical,Generator lamp circuit fault,Check generator lamp wiring
P0622,Generator Field/F Terminal Circuit Malfunction,Toyota All Models,Electrical,Generator field circuit fault,Check alternator field wiring
P0627,Fuel Pump A Control Circuit/Open,Toyota All Models,Electrical,Fuel pump A wiring fault,Check fuel pump A wiring
P0628,Fuel Pump A Control Circuit Low,Toyota All Models,Electrical,Fuel pump A circuit short,Check fuel pump A wiring
P0629,Fuel Pump A Control Circuit High,Toyota All Models,Electrical,Fuel pump A circuit open,Check fuel pump A wiring
P0657,Actuator Supply Voltage A Circuit/Open,Toyota All Models,Electrical,Actuator supply voltage fault,Check actuator power supply
P0658,Actuator Supply Voltage A Circuit Low,Toyota All Models,Electrical,Actuator supply voltage low,Check actuator power wiring
P0659,Actuator Supply Voltage A Circuit High,Toyota All Models,Electrical,Actuator supply voltage high,Check actuator power wiring
P0685,ECM/PCM Power Relay Control Circuit/Open,Toyota All Models,Electrical,ECM power relay fault,Check ECM power relay
P0686,ECM/PCM Power Relay Control Circuit Low,Toyota All Models,Electrical,ECM power relay short,Check ECM power relay wiring
P0687,ECM/PCM Power Relay Control Circuit High,Toyota All Models,Electrical,ECM power relay open,Check ECM power relay wiring
P0691,Fan 1 Control Circuit Low,Toyota All Models,Electrical,Fan 1 circuit short,Check fan 1 wiring
P0692,Fan 1 Control Circuit High,Toyota All Models,Electrical,Fan 1 circuit open,Check fan 1 wiring
P0693,Fan 2 Control Circuit Low,Toyota All Models,Electrical,Fan 2 circuit short,Check fan 2 wiringP0694,Fan 2 Control Circuit High,Toyota All Models,Electrical,Fan 2 circuit open,Check fan 2 wiring
P0700,Transmission Control System Malfunction,Hyundai Accent/Atos,Electrical,TCM communication fault,Check TCM wiring
P0701,Transmission Control System Range/Performance,Hyundai Accent/Atos,Electrical,TCM performance issue,Check TCM power
P0702,Transmission Control System Electrical,Hyundai Accent/Atos,Electrical,TCM electrical fault,Check TCM wiring
P0705,Transmission Range Sensor Circuit Malfunction,Hyundai Accent/Atos,Electrical,Transmission range sensor fault,Replace transmission range sensor
P0710,Transmission Fluid Temperature Sensor Circuit,Hyundai Accent/Atos,Electrical,Transmission temp sensor fault,Replace transmission temp sensor
P0711,Transmission Fluid Temperature Sensor Range/Performance,Hyundai Accent/Atos,Electrical,Transmission temp sensor out of range,Replace transmission temp sensor
P0715,Input/Turbine Speed Sensor Circuit Malfunction,Hyundai Accent/Atos,Electrical,Input speed sensor fault,Replace input speed sensor
P0717,Input/Turbine Speed Sensor Circuit No Signal,Hyundai Accent/Atos,Electrical,Input speed sensor no signal,Check input speed sensor wiring
P0720,Output Speed Sensor Circuit Malfunction,Hyundai Accent/Atos,Electrical,Output speed sensor fault,Replace output speed sensor
P0722,Output Speed Sensor Circuit No Signal,Hyundai Accent/Atos,Electrical,Output speed sensor no signal,Check output speed sensor wiring
P0730,Incorrect Gear Ratio,Hyundai Accent/Atos,Mechanical,Transmission internal fault,Check transmission fluid and internal components
P0740,Torque Converter Clutch Circuit Malfunction,Hyundai Accent/Atos,Electrical,TCC solenoid wiring fault,Check TCC solenoid wiring
P0741,Torque Converter Clutch Circuit Performance,Hyundai Accent/Atos,Mechanical,TCC solenoid stuck,Test TCC solenoid
P0742,Torque Converter Clutch Circuit Stuck On,Hyundai Accent/Atos,Mechanical,TCC solenoid stuck on,Replace TCC solenoid
P0750,Shift Solenoid A Malfunction,Hyundai Accent/Atos,Electrical,Shift solenoid A wiring fault,Check shift solenoid A wiring
P0751,Shift Solenoid A Performance or Stuck Off,Hyundai Accent/Atos,Mechanical,Shift solenoid A stuck,Test shift solenoid A
P0752,Shift Solenoid A Stuck On,Hyundai Accent/Atos,Mechanical,Shift solenoid A stuck on,Replace shift solenoid A
P0753,Shift Solenoid A Electrical,Hyundai Accent/Atos,Electrical,Shift solenoid A circuit fault,Check shift solenoid A wiring
P0755,Shift Solenoid B Malfunction,Hyundai Accent/Atos,Electrical,Shift solenoid B wiring fault,Check shift solenoid B wiring
P0756,Shift Solenoid B Performance or Stuck Off,Hyundai Accent/Atos,Mechanical,Shift solenoid B stuck,Test shift solenoid B
P0757,Shift Solenoid B Stuck On,Hyundai Accent/Atos,Mechanical,Shift solenoid B stuck on,Replace shift solenoid B
P0758,Shift Solenoid B Electrical,Hyundai Accent/Atos,Electrical,Shift solenoid B circuit fault,Check shift solenoid B wiring
P0760,Shift Solenoid C Malfunction,Hyundai Accent/Atos,Electrical,Shift solenoid C wiring fault,Check shift solenoid C wiring
P0761,Shift Solenoid C Performance or Stuck Off,Hyundai Accent/Atos,Mechanical,Shift solenoid C stuck,Test shift solenoid C
P0762,Shift Solenoid C Stuck On,Hyundai Accent/Atos,Mechanical,Shift solenoid C stuck on,Replace shift solenoid C
P0763,Shift Solenoid C Electrical,Hyundai Accent/Atos,Electrical,Shift solenoid C circuit fault,Check shift solenoid C wiring
P0770,Shift Solenoid E Malfunction,Hyundai Accent/Atos,Electrical,Shift solenoid E wiring fault,Check shift solenoid E wiring
P0771,Shift Solenoid E Performance or Stuck Off,Hyundai Accent/Atos,Mechanical,Shift solenoid E stuck,Test shift solenoid E
P0772,Shift Solenoid E Stuck On,Hyundai Accent/Atos,Mechanical,Shift solenoid E stuck on,Replace shift solenoid E
P0773,Shift Solenoid E Electrical,Hyundai Accent/Atos,Electrical,Shift solenoid E circuit fault,Check shift solenoid E wiring
P0780,Shift Error,Hyundai Accent/Atos,Mechanical,Transmission shift fault,Check transmission fluid and solenoids
P0785,Shift/Timing Solenoid Malfunction,Hyundai Accent/Atos,Electrical,Shift timing solenoid fault,Check shift timing solenoid
P0840,Transmission Fluid Pressure Sensor A Circuit,Hyundai Accent/Atos,Electrical,Transmission pressure sensor fault,Replace transmission pressure sensor
P0841,Transmission Fluid Pressure Sensor A Range/Performance,Hyundai Accent/Atos,Electrical,Transmission pressure sensor out of range,Replace transmission pressure sensor
P0842,Transmission Fluid Pressure Sensor A Circuit Low,Hyundai Accent/Atos,Electrical,Transmission pressure sensor short,Check transmission pressure sensor wiring
P0843,Transmission Fluid Pressure Sensor A Circuit High,Hyundai Accent/Atos,Electrical,Transmission pressure sensor open,Check transmission pressure sensor wiring
P0850,Park/Neutral Switch Input Circuit,Hyundai Accent/Atos,Electrical,Park/neutral switch wiring fault,Check park/neutral switch wiring
P0851,Park/Neutral Switch Input Circuit Low,Hyundai Accent/Atos,Electrical,Park/neutral switch circuit short,Check park/neutral switch wiring
P0852,Park/Neutral Switch Input Circuit High,Hyundai Accent/Atos,Electrical,Park/neutral switch circuit open,Check park/neutral switch wiring
P0870,Transmission Fluid Pressure Sensor C Circuit,Hyundai Accent/Atos,Electrical,Transmission pressure sensor C fault,Replace transmission pressure sensor C
P0871,Transmission Fluid Pressure Sensor C Range/Performance,Hyundai Accent/Atos,Electrical,Transmission pressure sensor C out of range,Replace transmission pressure sensor C
P0872,Transmission Fluid Pressure Sensor C Circuit Low,Hyundai Accent/Atos,Electrical,Transmission pressure sensor C short,Check transmission pressure sensor C wiring
P0873,Transmission Fluid Pressure Sensor C Circuit High,Hyundai Accent/Atos,Electrical,Transmission pressure sensor C open,Check transmission pressure sensor C wiring
P0880,TCM Power Input Signal,Hyundai Accent/Atos,Electrical,TCM power input fault,Check TCM power supply
P0881,TCM Power Input Signal Range/Performance,Hyundai Accent/Atos,Electrical,TCM power input out of range,Check TCM power supply
P0882,TCM Power Input Signal Low,Hyundai Accent/Atos,Electrical,TCM power input low,Check TCM power wiring
P0883,TCM Power Input Signal High,Hyundai Accent/Atos,Electrical,TCM power input high,Check TCM power wiring
P0885,TCM Power Relay Control Circuit/Open,Hyundai Accent/Atos,Electrical,TCM power relay fault,Check TCM power relay
P0886,TCM Power Relay Control Circuit Low,Hyundai Accent/Atos,Electrical,TCM power relay short,Check TCM power relay wiringP0887,TCM Power Relay Control Circuit High,Hyundai Accent/Atos,Electrical,TCM power relay open,Check TCM power relay wiring
P0890,TCM Power Relay Sense Circuit,Hyundai Accent/Atos,Electrical,TCM power relay sense fault,Check TCM power relay sense
P0891,TCM Power Relay Sense Circuit Range/Performance,Hyundai Accent/Atos,Electrical,TCM power relay sense out of range,Check TCM power relay
P0892,TCM Power Relay Sense Circuit Low,Hyundai Accent/Atos,Electrical,TCM power relay sense low,Check TCM power relay wiring
P0893,Multiple Gears Engaged,Hyundai Accent/Atos,Mechanical,Transmission internal fault,Check transmission internal components
P0894,Transmission Component Slipping,Hyundai Accent/Atos,Mechanical,Transmission clutch slipping,Check transmission fluid and clutch
P0897,Transmission Fluid Deteriorated,Hyundai Accent/Atos,Mechanical,Old or contaminated transmission fluid,Change transmission fluid
P0087,Fuel Rail Pressure Too Low,Sokon Utility Diesel,Mechanical,Weak lift pump or clogged filter,Replace fuel filter
P0088,Fuel Rail Pressure Too High,Sokon Utility Diesel,Mechanical,Faulty pressure regulator,Replace fuel pressure regulator
P0101,MAF Sensor Range/Performance,Sokon Utility Diesel,Electrical,Dirty MAF or intake leak,Clean MAF
P0102,MAF Circuit Low Input,Sokon Utility Diesel,Electrical,MAF wiring issue,Check MAF connector
P0103,MAF Circuit High Input,Sokon Utility Diesel,Electrical,MAF sensor faulty,Replace MAF sensor
P0117,ECT Sensor Circuit Low,Sokon Utility Diesel,Electrical,ECT sensor shorted,Replace ECT sensor
P0118,ECT Sensor Circuit High,Sokon Utility Diesel,Electrical,ECT sensor open,Replace ECT sensor
P0192,Fuel Rail Pressure Sensor Low,Sokon Utility Diesel,Electrical,FRPS wiring short,Check FRPS wiring
P0193,Fuel Rail Pressure Sensor High,Sokon Utility Diesel,Electrical,FRPS wiring open,Replace FRPS sensor
P0201,Injector Circuit Cylinder 1,Sokon Utility Diesel,Electrical,Injector 1 wiring issue,Check injector 1 connector
P0202,Injector Circuit Cylinder 2,Sokon Utility Diesel,Electrical,Injector 2 wiring issue,Check injector 2 connector
P0203,Injector Circuit Cylinder 3,Sokon Utility Diesel,Electrical,Injector 3 wiring issue,Check injector 3 connector
P0204,Injector Circuit Cylinder 4,Sokon Utility Diesel,Electrical,Injector 4 wiring issue,Check injector 4 connector
P0234,Engine Overboost Condition,Sokon Utility Diesel,Mechanical,Turbo wastegate stuck,Check turbo wastegate
P0237,Turbo Boost Sensor A Low,Sokon Utility Diesel,Electrical,Boost sensor wiring short,Check boost sensor wiring
P0238,Turbo Boost Sensor A High,Sokon Utility Diesel,Electrical,Boost sensor wiring open,Replace boost sensor
P0299,Turbo Underboost,Sokon Utility Diesel,Mechanical,Turbo leak or wastegate open,Check turbo hoses
P0380,Glow Plug Circuit A,Sokon Utility Diesel,Electrical,Glow plug relay fault,Test glow plug relay
P0381,Glow Plug Indicator Circuit,Sokon Utility Diesel,Electrical,Indicator bulb or wiring,Replace indicator bulb
P0382,Glow Plug Circuit B,Sokon Utility Diesel,Electrical,Glow plug circuit fault,Test glow plugs
P0401,EGR Flow Insufficient,Sokon Utility Diesel,Mechanical,Clogged EGR valve,Clean EGR valve
P0402,EGR Flow Excessive,Sokon Utility Diesel,Mechanical,EGR valve stuck open,Replace EGR valve
P0403,EGR Control Circuit,Sokon Utility Diesel,Electrical,EGR solenoid wiring,Check EGR solenoid wiring
P0470,Exhaust Pressure Sensor,Sokon DPF Diesel,Electrical,DPF pressure sensor faulty,Replace DPF pressure sensor
P0471,Exhaust Pressure Sensor Range,Sokon DPF Diesel,Electrical,DPF sensor wiring,Check DPF sensor wiring
P0480,Cooling Fan 1 Control,Sokon Utility,Electrical,Fan relay or wiring,Test fan relay
P0481,Cooling Fan 2 Control,Sokon Utility,Electrical,Fan 2 relay or wiring,Test fan 2 relay
P0500,Vehicle Speed Sensor,Sokon Utility,Electrical,VSS sensor faulty,Replace VSS sensor
P0522,Engine Oil Pressure Low,Sokon Utility,Electrical,Oil pressure sensor,Check oil level
P0523,Engine Oil Pressure High,Sokon Utility,Electrical,Oil pressure sensor faulty,Replace oil pressure sensor
P0562,System Voltage Low,Sokon Utility,Electrical,Weak battery or alternator,Test battery and alternator
P0563,System Voltage High,Sokon Utility,Electrical,Faulty voltage regulator,Replace alternator regulator
P0087,Fuel Rail Pressure Too Low,DFAC Commercial Diesel,Mechanical,Weak lift pump or clogged filter,Replace fuel filter
P0088,Fuel Rail Pressure Too High,DFAC Commercial Diesel,Mechanical,Faulty pressure regulator,Replace fuel pressure regulator
P0101,MAF Sensor Range/Performance,DFAC Commercial Diesel,Electrical,Dirty MAF or intake leak,Clean MAF
P0102,MAF Circuit Low Input,DFAC Commercial Diesel,Electrical,MAF wiring issue,Check MAF connector
P0103,MAF Circuit High Input,DFAC Commercial Diesel,Electrical,MAF sensor faulty,Replace MAF sensor
P0117,ECT Sensor Circuit Low,DFAC Commercial Diesel,Electrical,ECT sensor shorted,Replace ECT sensor
P0118,ECT Sensor Circuit High,DFAC Commercial Diesel,Electrical,ECT sensor open,Replace ECT sensor
P0192,Fuel Rail Pressure Sensor Low,DFAC Commercial Diesel,Electrical,FRPS wiring short,Check FRPS wiring
P0193,Fuel Rail Pressure Sensor High,DFAC Commercial Diesel,Electrical,FRPS wiring open,Replace FRPS sensor
P0201,Injector Circuit Cylinder 1,DFAC Commercial Diesel,Electrical,Injector 1 wiring issue,Check injector 1 connector
P0202,Injector Circuit Cylinder 2,DFAC Commercial Diesel,Electrical,Injector 2 wiring issue,Check injector 2 connectorP0203,Injector Circuit Cylinder 3,DFAC Commercial Diesel,Electrical,Injector 3 wiring issue,Check injector 3 connector
P0204,Injector Circuit Cylinder 4,DFAC Commercial Diesel,Electrical,Injector 4 wiring issue,Check injector 4 connector
P0234,Engine Overboost,DFAC Commercial Diesel,Mechanical,Turbo wastegate stuck,Check turbo wastegate
P0237,Turbo Boost Sensor Low,DFAC Commercial Diesel,Electrical,Boost sensor wiring short,Check boost sensor wiring
P0238,Turbo Boost Sensor High,DFAC Commercial Diesel,Electrical,Boost sensor wiring open,Replace boost sensor
P0299,Turbo Underboost,DFAC Commercial Diesel,Mechanical,Turbo leak or wastegate open,Check turbo hoses
P0380,Glow Plug Circuit A,DFAC Commercial Diesel,Electrical,Glow plug relay fault,Test glow plug relay
P0381,Glow Plug Indicator,DFAC Commercial Diesel,Electrical,Indicator bulb or wiring,Replace indicator bulb
P0382,Glow Plug Circuit B,DFAC Commercial Diesel,Electrical,Glow plug circuit fault,Test glow plugs
P0401,EGR Flow Insufficient,DFAC Commercial Diesel,Mechanical,Clogged EGR valve,Clean EGR valve
P0402,EGR Flow Excessive,DFAC Commercial Diesel,Mechanical,EGR valve stuck open,Replace EGR valve
P0403,EGR Control Circuit,DFAC Commercial Diesel,Electrical,EGR solenoid wiring,Check EGR solenoid wiring
P0470,Exhaust Pressure Sensor,DFAC DPF Diesel,Electrical,DPF pressure sensor faulty,Replace DPF pressure sensor
P0471,Exhaust Pressure Sensor Range,DFAC DPF Diesel,Electrical,DPF sensor wiring,Check DPF sensor wiring
P0480,Cooling Fan 1 Control,DFAC Commercial,Electrical,Fan relay or wiring,Test fan relay
P0481,Cooling Fan 2 Control,DFAC Commercial,Electrical,Fan 2 relay or wiring,Test fan 2 relay
P0500,Vehicle Speed Sensor,DFAC Commercial,Electrical,VSS sensor faulty,Replace VSS sensor
P0522,Engine Oil Pressure Low,DFAC Commercial,Electrical,Oil pressure sensor,Check oil level
P0523,Engine Oil Pressure High,DFAC Commercial,Electrical,Oil pressure sensor faulty,Replace oil pressure sensor
P0562,System Voltage Low,DFAC Commercial,Electrical,Weak battery or alternator,Test battery and alternator
P0563,System Voltage High,DFAC Commercial,Electrical,Faulty voltage regulator,Replace alternator regulator
P2000,NOx Trap Efficiency Below Threshold,Toyota Diesel Models,Mechanical,NOx trap worn,Replace NOx trap
P2002,Particulate Trap Efficiency Below Threshold,Toyota Diesel Models,Mechanical,DPF clogged or worn,Clean or replace DPF
P2004,Intake Manifold Runner Control Stuck Open,Toyota All Models,Mechanical,IMRC valve stuck open,Clean or replace IMRC valve
P2006,Intake Manifold Runner Control Stuck Closed,Toyota All Models,Mechanical,IMRC valve stuck closed,Clean or replace IMRC valve
P2008,Intake Manifold Runner Control Circuit/Open,Toyota All Models,Electrical,IMRC solenoid wiring fault,Check IMRC solenoid wiring
P2014,Intake Manifold Runner Position Sensor/Switch Circuit,Toyota All Models,Electrical,IMRC position sensor fault,Replace IMRC position sensor
P2015,Intake Manifold Runner Position Sensor/Switch Range/Performance,Toyota All Models,Electrical,IMRC position sensor out of range,Replace IMRC position sensor
P2016,Intake Manifold Runner Position Sensor/Switch Circuit Low,Toyota All Models,Electrical,IMRC position sensor short,Check IMRC position sensor wiring
P2017,Intake Manifold Runner Position Sensor/Switch Circuit High,Toyota All Models,Electrical,IMRC position sensor open,Check IMRC position sensor wiring
P2070,Intake Manifold Tuning Valve Stuck Open,Hyundai Accent/Atos,Mechanical,IMTV valve stuck open,Clean or replace IMTV valve
P2071,Intake Manifold Tuning Valve Stuck Closed,Hyundai Accent/Atos,Mechanical,IMTV valve stuck closed,Clean or replace IMTV valve
P2075,Intake Manifold Tuning Valve Position Sensor/Switch Circuit,Hyundai Accent/Atos,Electrical,IMTV position sensor fault,Replace IMTV position sensor
P2080,Exhaust Gas Temperature Sensor Range/Performance Bank 1 Sensor 1,Hyundai Diesel Models,Electrical,EGT sensor out of range,Replace EGT sensor
P2084,Exhaust Gas Temperature Sensor Range/Performance Bank 1 Sensor 2,Hyundai Diesel Models,Electrical,EGT sensor 2 out of range,Replace EGT sensor 2
P2096,Post Catalyst Fuel Trim System Too Lean Bank 1,Hyundai Accent/Atos,Mechanical,Exhaust leak or O2 sensor fault,Check exhaust for leaks
P2097,Post Catalyst Fuel Trim System Too Rich Bank 1,Hyundai Accent/Atos,Mechanical,Catalyst issue or O2 sensor fault,Check catalytic converter
P2100,Throttle Actuator Control Motor Circuit/Open,Hyundai Accent/Atos,Electrical,Throttle motor wiring fault,Check throttle motor wiring
P2101,Throttle Actuator Control Motor Circuit Range/Performance,Hyundai Accent/Atos,Electrical,Throttle motor performance issue,Test throttle motor
P2102,Throttle Actuator Control Motor Circuit Low,Hyundai Accent/Atos,Electrical,Throttle motor circuit short,Check throttle motor wiring
P2103,Throttle Actuator Control Motor Circuit High,Hyundai Accent/Atos,Electrical,Throttle motor circuit open,Check throttle motor wiring
P2106,Throttle Actuator Control System Forced Limited Power,Hyundai Accent/Atos,Mechanical,Throttle system limp mode,Check throttle system
P2110,Throttle Actuator Control System Forced Limited RPM,Hyundai Accent/Atos,Mechanical,Throttle system RPM limit,Check throttle system
P2111,Throttle Actuator Control System Stuck Open,Hyundai Accent/Atos,Mechanical,Throttle stuck open,Clean or replace throttle body
P2112,Throttle Actuator Control System Stuck Closed,Hyundai Accent/Atos,Mechanical,Throttle stuck closed,Clean or replace throttle body
P2118,Throttle Actuator Control Motor Current Range/Performance,Hyundai Accent/Atos,Electrical,Throttle motor current issue,Test throttle motor current
P2119,Throttle Actuator Control Throttle Body Range/Performance,Hyundai Accent/Atos,Mechanical,Throttle body performance issue,Clean or replace throttle body
P2120,Throttle/Pedal Position Sensor D Circuit,Hyundai Accent/Atos,Electrical,TPS D sensor wiring fault,Check TPS D wiring
P2122,Throttle/Pedal Position Sensor D Circuit Low Input,Hyundai Accent/Atos,Electrical,TPS D circuit short,Check TPS D wiring
P2123,Throttle/Pedal Position Sensor D Circuit High Input,Hyundai Accent/Atos,Electrical,TPS D circuit open,Check TPS D wiringP2127,Throttle/Pedal Position Sensor E Circuit Low Input,Hyundai Accent/Atos,Electrical,TPS E circuit short,Check TPS E wiring
P2128,Throttle/Pedal Position Sensor E Circuit High Input,Hyundai Accent/Atos,Electrical,TPS E circuit open,Check TPS E wiring
P2135,Throttle/Pedal Position Sensor A/B Voltage Correlation,Hyundai Accent/Atos,Electrical,TPS A/B correlation fault,Replace throttle position sensor
P2138,Throttle/Pedal Position Sensor D/E Voltage Correlation,Hyundai Accent/Atos,Electrical,TPS D/E correlation fault,Replace throttle position sensor
